Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10p,
"C10, C5, C9",0603,3,10u,
"C11, C14, C15, C22, C27, C28, C29, C3, C30, C31, C4, C6, C7, C8",0603,14,100n,
"C12, C13",0603,2,3p3,
"C16, C17",0603,2,4.7 uF,
"C18, C21",0603,2,10uF,
"C19, C20",0805,2,10uF,
"C23, C24, C25",0805,3,22uF,
C26,0603,1,1u,
D1,CD214A-B240LR,1,CD214A-B240LR,
D2,155124RS73200,1,LED green,
D3,155124RS73200,1,LED red,
"D4, D5",D_SOD-523,2,RB21S30T5G,
"D6, D7",0603,2,LED,
IC1,SOP65P640X120-14N,1,LSF0204QPWRQ1,
IC2,SON50P300X200X60-9N,1,W25Q16JVUXIQ_TR,
IC3,TPS630701RNMR,1,TPS630701RNMR,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BATTERY,
J3,23370191,1,2337019-1,
J5,Harwin_M20-89005xx_1x05_P2.54mm_Horizontal,1,M20-8900505,
"L1, L2, L4",0603,3,2n2,
L3,EATON_EXL1V0402_4.6mmx4.6mm,1,1.5uH,
"Q1, Q2",TBAT54CLM,2,"T2N7002AK,LM",
"R1, R10, R2, R4, R5, R6, R7",0603,7,5k1,
"R11, R14, R15, R17, R19, R21",0603,6,10k,
"R12, R13",0603,2,1.18k,
R16,0603,1,100k,
"R18, R22, R23, R24, R25",0603,5,1k,
R20,0603,1,22k,
R3,0603,1,22,
"R8, R9",0603,2,510,
"SW1, SW2",PTS636SP50SMTRLFS,2,PTS636 SP50,
SW3,SLW-864547-5A-RA-D,1,POWER SWITCH,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,ESP32C3,
U2,SOT-23-6,1,USBLC6-2SC6,
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U5,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ECS-400-10-37B2-CKM-TR,
