Designator,Mid X,Mid Y,Rotation,Layer
C1,43.35,-54.15,90.0,top
C10,45.29,-66.0,270.0,bottom
C11,46.85,-66.0,270.0,bottom
C12,36.8,-61.425,90.0,top
C13,32.2,-61.45,90.0,top
C14,37.85,-70.15,0.0,top
C15,44.2,-70.15,180.0,top
C16,73.2125,-56.675,270.0,top
C17,64.7375,-57.25,180.0,top
C18,77.2125,-55.7,0.0,top
C19,77.4125,-53.6,0.0,top
C2,41.0,-56.5,0.0,top
C20,77.4125,-51.25,0.0,top
C21,76.7125,-64.65,0.0,top
C22,71.5125,-62.4,180.0,top
C23,76.9,-67.15,0.0,top
C24,76.9,-69.4,0.0,top
C25,76.9,-71.65,0.0,top
C26,65.2875,-71.05,0.0,top
C27,73.6375,-70.175,270.0,top
C28,68.8375,-70.175,270.0,top
C29,58.65,-64.95,0.0,top
C3,36.8,-64.675,270.0,top
C30,52.0,-64.15,90.0,top
C31,77.2125,-57.55,0.0,top
C4,32.2,-64.675,270.0,top
C5,30.5,-64.675,270.0,top
C6,38.6,-58.8,90.0,top
C7,45.65,-66.6,0.0,top
C8,40.25,-69.375,270.0,top
C9,41.9,-69.375,270.0,top
D1,54.97,-52.965,0.0,bottom
D2,73.4,-50.4,0.0,top
D3,65.7,-50.4,0.0,top
D4,61.15,-62.3,180.0,top
D5,61.175,-60.551,180.0,top
D6,86.15,-62.5875,270.0,top
D7,87.9,-62.6,270.0,top
IC1,54.95,-68.6,0.0,top
IC2,47.1,-64.475,180.0,top
IC3,74.668,-61.05,0.0,top
J1,54.97,-52.675,180.0,top
J2,66.7,-68.05,0.0,bottom
J3,29.25,-60.275,0.0,top
J5,93.75,-59.65,180.0,bottom
L1,34.5,-63.9,180.0,top
L2,34.5,-62.2,180.0,top
L3,79.8125,-61.05,270.0,top
L4,71.2375,-69.4,180.0,top
Q1,67.8,-61.3,0.0,top
Q2,31.25,-71.425,180.0,top
R1,57.475,-58.25,0.0,top
R10,65.2,-53.6,180.0,top
R11,64.15,-60.55,0.0,top
R12,68.7125,-52.05,90.0,top
R13,70.3625,-52.05,90.0,top
R14,65.2125,-55.2,180.0,top
R15,74.8125,-56.725,270.0,top
R16,71.5125,-60.8,0.0,top
R17,68.8375,-66.95,90.0,top
R18,60.55,-70.55,180.0,top
R19,33.75,-64.7,0.0,bottom
R2,51.85,-58.25,180.0,top
R20,33.75,-66.35,180.0,bottom
R21,32.2,-67.775,90.0,top
R22,30.5,-67.775,270.0,top
R23,64.15,-62.3,0.0,top
R24,86.15,-59.4375,90.0,top
R25,87.9,-59.4,90.0,top
R3,40.25,-58.8,90.0,top
R4,37.85,-68.6,0.0,top
R5,44.175,-68.65,180.0,top
R6,56.15,-64.15,90.0,top
R7,54.55,-64.15,90.0,top
R8,74.05,-51.9,0.0,top
R9,65.2,-51.9,0.0,top
SW1,42.85,-70.3,180.0,bottom
SW2,55.375,-70.3,0.0,bottom
SW3,86.85,-51.35,0.0,top
U1,40.97,-63.975,0.0,top
U2,46.67,-59.525,180.0,top
U3,24.95,-58.1,90.0,top
U4,69.475,-55.95,0.0,top
U5,65.6875,-68.45,180.0,top
Y1,41.0,-54.25,0.0,top
